THE,COMPANY,SAID,IT,MADE,THE,PURCHASE,IN,ORDER,TO,LOCALLY,PRODUCE,HYDRAULICALLY,OPERATED,SHOVELS,.
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBN,NNS,.
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBN,NNS,.
DT,NN,VBN,PRP,VBN,DT,-,IN,-,-,-,-,-,-,-,-
DT,NNS,VBG,PRP,VBG,DT,VBP,IN,-,TO,-,-,-,-,-,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VBP,RB,VBN,-,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBN,NNS,-
DT,-,VBD,PRP,-,-,-,IN,-,TO,-,-,-,-,NN,-
DT,NNP,VB,PRP,VB,DT,-,IN,-,TO,-,-,-,-,NNS,-
DT,NN,VBN,PRP,VBD,DT,VB,IN,WDP,CC,RB,VB,JJ,VBD,NN,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,IN,RB,VB,RB,VBD,NNS,-
DT,NN,VBD,PRP,VBD,DT,VB,IN,NN,TO,RB,VB,RB,VBD,NNS,.
DT,NN,VBD,PRP,VBD,DT,VB,IN,NN,TO,RB,VB,RB,VBD,NNS,.
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,VB,RB,NNS,.
DT,NN,VBD,PRP,VBD,DT,VB,IN,NN,TO,RB,VB,RB,VBN,NNS,.
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBD,NN,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,JJ,VBN,NN,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBN,NNS,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,-,TO,RB,-,RB,VBN,NNS,.
DT,NN,VBD,-,VBD,DT,NN,IN,NN,IN,RB,VB,RB,VBD,NNS,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,-,TO,RB,VB,RB,JJ,NNS,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBD,NNS,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,-,-,RB,VB,RB,VBN,NNS,-
DT,NNP,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VBD,RB,VBN,NNS,-
DT,NN,VBD,PRP,VBN,DT,-,-,-,-,-,-,-,-,NNP,-
DT,NN,VBD,DT,VBN,DT,NN,IN,JJ,IN,RB,VB,RB,JJ,NN,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBN,NNS,.
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,TO,RB,VB,RB,VBN,NNS,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,-,TO,RB,VB,RB,VBD,NNS,-
DT,NN,VBD,PRP,VBD,DT,NNP,IN,NN,TO,JJ,VB,JJ,JJ,NNS,-
DT,NN,VBD,PRP,VBD,DT,NN,IN,NN,IN,RB,VB,RB,VBN,NNS,-
DET,NN,VBP,PRP,VBP,DET,NN,IN,NN,TO,RB,VB,RB,RB,NNS,-
DT,NN,VBD,PRP,VBD,DT,VB,IN,NN,TO,RB,VB,RB,VBD,NNS,-
